INDEX,PRIME
672,5009
673,5011
674,5021
675,5023
676,5039
677,5051
678,5059
679,5077
680,5081
681,5087
682,5099
683,5101
684,5107
685,5113
686,5119
687,5147
688,5153
689,5167
690,5171
691,5179
692,5189
693,5197
694,5209
695,5227
696,5231
697,5233
698,5237
699,5261
700,5273
701,5279
702,5281
703,5297
704,5303
705,5309
706,5323
707,5333
708,5347
709,5351
710,5381
711,5387
712,5393
713,5399
714,5407
715,5413
716,5417
717,5419
718,5431
719,5437
720,5441
721,5443
722,5449
723,5471
724,5477
725,5479
726,5483
727,5501
728,5503
729,5507
730,5519
731,5521
732,5527
733,5531
734,5557
735,5563
736,5569
737,5573
738,5581
739,5591
740,5623
741,5639
742,5641
743,5647
744,5651
745,5653
746,5657
747,5659
748,5669
749,5683
750,5689
751,5693
752,5701
753,5711
754,5717
755,5737
756,5741
757,5743
758,5749
759,5779
760,5783
761,5791
762,5801
763,5807
764,5813
765,5821
766,5827
767,5839
768,5843
769,5849
770,5851
771,5857
772,5861
773,5867
774,5869
775,5879
776,5881
777,5897
778,5903
779,5923
780,5927
781,5939
782,5953
783,5981
784,5987
785,6007
786,6011
787,6029
788,6037
789,6043
790,6047
791,6053
792,6067
793,6073
794,6079
795,6089
796,6091
797,6101
798,6113
799,6121
800,6131
801,6133
802,6143
803,6151
804,6163
805,6173
806,6197
807,6199
808,6203
809,6211
810,6217
811,6221
812,6229
813,6247
814,6257
815,6263
816,6269
817,6271
818,6277
819,6287
820,6299
821,6301
822,6311
823,6317
824,6323
825,6329
826,6337
827,6343
828,6353
829,6359
830,6361
831,6367
832,6373
833,6379
834,6389
835,6397
836,6421
837,6427
838,6449
839,6451
840,6469
841,6473
842,6481
843,6491
844,6521
845,6529
846,6547
847,6551
848,6553
849,6563
850,6569
851,6571
852,6577
853,6581
854,6599
855,6607
856,6619
857,6637
858,6653
859,6659
860,6661
861,6673
862,6679
863,6689
864,6691
865,6701
866,6703
867,6709
868,6719
869,6733
870,6737
871,6761
872,6763
873,6779
874,6781
875,6791
876,6793
877,6803
878,6823
879,6827
880,6829
881,6833
882,6841
883,6857
884,6863
885,6869
886,6871
887,6883
888,6899
889,6907
890,6911
